"Point","X","Y","Z"
"0","-270","540","0"
"1","-256.5","540","0"
"2","-243","540","0"
"3","-229.5","540","0"
"4","-216","540","0"
"5","-202.5","540","0"
"6","-189","540","0"
"7","-175.5","540","0"
"8","-162","540","0"
"9","-148.5","540","0"
"10","-135","540","0"
"11","-121.5","540","0"
"12","-108","540","0"
"13","-94.5","540","0"
"14","-81","540","0"
"15","-67.5","540","0"
"16","-54","540","0"
"17","-40.5","540","0"
"18","-27","540","0"
"19","-13.5","540","0"
"20","0","540","0"
"21","13.5","540","0"
"22","27","540","0"
"23","40.5","540","0"
"24","54","540","0"
"25","67.5","540","0"
"26","81","540","0"
"27","94.5","540","0"
"28","108","540","0"
"29","121.5","540","0"
"30","135","540","0"
"31","148.5","540","0"
"32","162","540","0"
"33","175.5","540","0"
"34","189","540","0"
"35","202.5","540","0"
"36","216","540","0"
"37","229.5","540","0"
"38","243","540","0"
"39","256.5","540","0"
"40","270","540","0"
"41","-270","522","0"
"42","-256.5","522","0"
"43","-243","522","0"
"44","-229.5","522","0"
"45","-216","522","0"
"46","-202.5","522","0"
"47","-189","522","0"
"48","-175.5","522","0"
"49","-162","522","0"
"50","-148.5","522","0"
"51","-135","522","0"
"52","-121.5","522","0"
"53","-108","522","0"
"54","-94.5","522","0"
"55","-81","522","0"
"56","-67.5","522","0"
"57","-54","522","0"
"58","-40.5","522","0"
"59","-27","522","0"
"60","-13.5","522","0"
"61","0","522","0"
"62","13.5","522","0"
"63","27","522","0"
"64","40.5","522","0"
"65","54","522","0"
"66","67.5","522","0"
"67","81","522","0"
"68","94.5","522","0"
"69","108","522","0"
"70","121.5","522","0"
"71","135","522","0"
"72","148.5","522","0"
"73","162","522","0"
"74","175.5","522","0"
"75","189","522","0"
"76","202.5","522","0"
"77","216","522","0"
"78","229.5","522","0"
"79","243","522","0"
"80","256.5","522","0"
"81","270","522","0"
"82","-270","504","0"
"83","-256.5","504","0"
"84","-243","504","0"
"85","-229.5","504","0"
"86","-216","504","0"
"87","-202.5","504","0"
"88","-189","504","0"
"89","-175.5","504","0"
"90","-162","504","0"
"91","-148.5","504","0"
"92","-135","504","0"
"93","-121.5","504","0"
"94","-108","504","0"
"95","-94.5","504","0"
"96","-81","504","0"
"97","-67.5","504","0"
"98","-54","504","0"
"99","-40.5","504","0"
"100","-27","504","0"
"101","-13.5","504","0"
"102","0","504","0"
"103","13.5","504","0"
"104","27","504","0"
"105","40.5","504","0"
"106","54","504","0"
"107","67.5","504","0"
"108","81","504","0"
"109","94.5","504","0"
"110","108","504","0"
"111","121.5","504","0"
"112","135","504","0"
"113","148.5","504","0"
"114","162","504","0"
"115","175.5","504","0"
"116","189","504","0"
"117","202.5","504","0"
"118","216","504","0"
"119","229.5","504","0"
"120","243","504","0"
"121","256.5","504","0"
"122","270","504","0"
"123","-270","486","0"
"124","-256.5","486","0"
"125","-243","486","0"
"126","-229.5","486","0"
"127","-216","486","0"
"128","-202.5","486","0"
"129","-189","486","0"
"130","-175.5","486","0"
"131","-162","486","0"
"132","-148.5","486","0"
"133","-135","486","0"
"134","-121.5","486","0"
"135","-108","486","0"
"136","-94.5","486","0"
"137","-81","486","0"
"138","-67.5","486","0"
"139","-54","486","0"
"140","-40.5","486","0"
"141","-27","486","0"
"142","-13.5","486","0"
"143","0","486","0"
"144","13.5","486","0"
"145","27","486","0"
"146","40.5","486","0"
"147","54","486","0"
"148","67.5","486","0"
"149","81","486","0"
"150","94.5","486","0"
"151","108","486","0"
"152","121.5","486","0"
"153","135","486","0"
"154","148.5","486","0"
"155","162","486","0"
"156","175.5","486","0"
"157","189","486","0"
"158","202.5","486","0"
"159","216","486","0"
"160","229.5","486","0"
"161","243","486","0"
"162","256.5","486","0"
"163","270","486","0"
"164","-270","468","0"
"165","-256.5","468","0"
"166","-243","468","0"
"167","-229.5","468","0"
"168","-216","468","0"
"169","-202.5","468","0"
"170","-189","468","0"
"171","-175.5","468","0"
"172","-162","468","0"
"173","-148.5","468","0"
"174","-135","468","0"
"175","-121.5","468","0"
"176","-108","468","0"
"177","-94.5","468","0"
"178","-81","468","0"
"179","-67.5","468","0"
"180","-54","468","0"
"181","-40.5","468","0"
"182","-27","468","0"
"183","-13.5","468","0"
"184","0","468","0"
"185","13.5","468","0"
"186","27","468","0"
"187","40.5","468","0"
"188","54","468","0"
"189","67.5","468","0"
"190","81","468","0"
"191","94.5","468","0"
"192","108","468","0"
"193","121.5","468","0"
"194","135","468","0"
"195","148.5","468","0"
"196","162","468","0"
"197","175.5","468","0"
"198","189","468","0"
"199","202.5","468","0"
"200","216","468","0"
"201","229.5","468","0"
"202","243","468","0"
"203","256.5","468","0"
"204","270","468","0"
"205","-270","450","0"
"206","-256.5","450","0"
"207","-243","450","0"
"208","-229.5","450","0"
"209","-216","450","0"
"210","-202.5","450","0"
"211","-189","450","0"
"212","-175.5","450","0"
"213","-162","450","0"
"214","-148.5","450","0"
"215","-135","450","0"
"216","-121.5","450","0"
"217","-108","450","0"
"218","-94.5","450","0"
"219","-81","450","0"
"220","-67.5","450","0"
"221","-54","450","0"
"222","-40.5","450","0"
"223","-27","450","0"
"224","-13.5","450","0"
"225","0","450","0"
"226","13.5","450","0"
"227","27","450","0"
"228","40.5","450","0"
"229","54","450","0"
"230","67.5","450","0"
"231","81","450","0"
"232","94.5","450","0"
"233","108","450","0"
"234","121.5","450","0"
"235","135","450","0"
"236","148.5","450","0"
"237","162","450","0"
"238","175.5","450","0"
"239","189","450","0"
"240","202.5","450","0"
"241","216","450","0"
"242","229.5","450","0"
"243","243","450","0"
"244","256.5","450","0"
"245","270","450","0"
"246","-270","432","0"
"247","-256.5","432","0"
"248","-243","432","0"
"249","-229.5","432","0"
"250","-216","432","0"
"251","-202.5","432","0"
"252","-189","432","0"
"253","-175.5","432","0"
"254","-162","432","0"
"255","-148.5","432","0"
"256","-135","432","0"
"257","-121.5","432","0"
"258","-108","432","0"
"259","-94.5","432","0"
"260","-81","432","0"
"261","-67.5","432","0"
"262","-54","432","0"
"263","-40.5","432","0"
"264","-27","432","0"
"265","-13.5","432","0"
"266","0","432","0"
"267","13.5","432","0"
"268","27","432","0"
"269","40.5","432","0"
"270","54","432","0"
"271","67.5","432","0"
"272","81","432","0"
"273","94.5","432","0"
"274","108","432","0"
"275","121.5","432","0"
"276","135","432","0"
"277","148.5","432","0"
"278","162","432","0"
"279","175.5","432","0"
"280","189","432","0"
"281","202.5","432","0"
"282","216","432","0"
"283","229.5","432","0"
"284","243","432","0"
"285","256.5","432","0"
"286","270","432","0"
"287","-270","414","0"
"288","-256.5","414","0"
"289","-243","414","0"
"290","-229.5","414","0"
"291","-216","414","0"
"292","-202.5","414","0"
"293","-189","414","0"
"294","-175.5","414","0"
"295","-162","414","0"
"296","-148.5","414","0"
"297","-135","414","0"
"298","-121.5","414","0"
"299","-108","414","0"
"300","-94.5","414","0"
"301","-81","414","0"
"302","-67.5","414","0"
"303","-54","414","0"
"304","-40.5","414","0"
"305","-27","414","0"
"306","-13.5","414","0"
"307","0","414","0"
"308","13.5","414","0"
"309","27","414","0"
"310","40.5","414","0"
"311","54","414","0"
"312","67.5","414","0"
"313","81","414","0"
"314","94.5","414","0"
"315","108","414","0"
"316","121.5","414","0"
"317","135","414","0"
"318","148.5","414","0"
"319","162","414","0"
"320","175.5","414","0"
"321","189","414","0"
"322","202.5","414","0"
"323","216","414","0"
"324","229.5","414","0"
"325","243","414","0"
"326","256.5","414","0"
"327","270","414","0"
"328","-270","396","0"
"329","-256.5","396","0"
"330","-243","396","0"
"331","-229.5","396","0"
"332","-216","396","0"
"333","-202.5","396","0"
"334","-189","396","0"
"335","-175.5","396","0"
"336","-162","396","0"
"337","-148.5","396","0"
"338","-135","396","0"
"339","-121.5","396","0"
"340","-108","396","0"
"341","-94.5","396","0"
"342","-81","396","0"
"343","-67.5","396","0"
"344","-54","396","0"
"345","-40.5","396","0"
"346","-27","396","0"
"347","-13.5","396","0"
"348","0","396","0"
"349","13.5","396","0"
"350","27","396","0"
"351","40.5","396","0"
"352","54","396","0"
"353","67.5","396","0"
"354","81","396","0"
"355","94.5","396","0"
"356","108","396","0"
"357","121.5","396","0"
"358","135","396","0"
"359","148.5","396","0"
"360","162","396","0"
"361","175.5","396","0"
"362","189","396","0"
"363","202.5","396","0"
"364","216","396","0"
"365","229.5","396","0"
"366","243","396","0"
"367","256.5","396","0"
"368","270","396","0"
"369","-270","378","0"
"370","-256.5","378","0"
"371","-243","378","0"
"372","-229.5","378","0"
"373","-216","378","0"
"374","-202.5","378","0"
"375","-189","378","0"
"376","-175.5","378","0"
"377","-162","378","0"
"378","-148.5","378","0"
"379","-135","378","0"
"380","-121.5","378","0"
"381","-108","378","0"
"382","-94.5","378","0"
"383","-81","378","0"
"384","-67.5","378","0"
"385","-54","378","0"
"386","-40.5","378","0"
"387","-27","378","0"
"388","-13.5","378","0"
"389","0","378","0"
"390","13.5","378","0"
"391","27","378","0"
"392","40.5","378","0"
"393","54","378","0"
"394","67.5","378","0"
"395","81","378","0"
"396","94.5","378","0"
"397","108","378","0"
"398","121.5","378","0"
"399","135","378","0"
"400","148.5","378","0"
"401","162","378","0"
"402","175.5","378","0"
"403","189","378","0"
"404","202.5","378","0"
"405","216","378","0"
"406","229.5","378","0"
"407","243","378","0"
"408","256.5","378","0"
"409","270","378","0"
"410","-270","360","0"
"411","-256.5","360","0"
"412","-243","360","0"
"413","-229.5","360","0"
"414","-216","360","0"
"415","-202.5","360","0"
"416","-189","360","0"
"417","-175.5","360","0"
"418","-162","360","0"
"419","-148.5","360","0"
"420","-135","360","0"
"421","-121.5","360","0"
"422","-108","360","0"
"423","-94.5","360","0"
"424","-81","360","0"
"425","-67.5","360","0"
"426","-54","360","0"
"427","-40.5","360","0"
"428","-27","360","0"
"429","-13.5","360","0"
"430","0","360","0"
"431","13.5","360","0"
"432","27","360","0"
"433","40.5","360","0"
"434","54","360","0"
"435","67.5","360","0"
"436","81","360","0"
"437","94.5","360","0"
"438","108","360","0"
"439","121.5","360","0"
"440","135","360","0"
"441","148.5","360","0"
"442","162","360","0"
"443","175.5","360","0"
"444","189","360","0"
"445","202.5","360","0"
"446","216","360","0"
"447","229.5","360","0"
"448","243","360","0"
"449","256.5","360","0"
"450","270","360","0"
"451","-270","342","0"
"452","-256.5","342","0"
"453","-243","342","0"
"454","-229.5","342","0"
"455","-216","342","0"
"456","-202.5","342","0"
"457","-189","342","0"
